位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
IP,9h8h,桶6:弱听牌,9.39,8.41,8.44,-10.4%,-10.1%
IP,Ac4c,桶3:中等成牌,10.08,14.06,11.66,+39.4%,+15.6%
IP,Kc9c,桶6:弱听牌,11.89,9.61,9.64,-19.2%,-18.9%
IP,6c4c,桶3:中等成牌,12.39,12.30,10.20,-0.8%,-17.7%
IP,Tc8c,桶6:弱听牌,12.47,8.43,8.46,-32.4%,-32.1%
IP,AcTs,桶6:弱听牌,12.70,14.44,14.49,+13.7%,+14.1%
IP,AcTh,桶6:弱听牌,12.78,14.42,14.47,+12.8%,+13.2%
IP,AcTc,桶6:弱听牌,12.88,14.56,14.61,+13.0%,+13.4%
IP,AcTd,桶6:弱听牌,12.88,14.54,14.59,+12.9%,+13.2%
IP,5c4c,桶3:中等成牌,12.91,12.30,10.21,-4.7%,-21.0%
IP,AhTc,桶6:弱听牌,13.11,14.44,14.49,+10.2%,+10.5%
IP,AsTc,桶6:弱听牌,13.15,14.46,14.51,+9.9%,+10.3%
IP,AdTc,桶6:弱听牌,13.16,14.36,14.40,+9.1%,+9.5%
IP,AhTs,桶6:弱听牌,13.18,14.38,14.43,+9.1%,+9.4%
IP,AdTs,桶6:弱听牌,13.22,14.30,14.34,+8.2%,+8.5%
IP,AdTh,桶6:弱听牌,13.29,14.28,14.33,+7.5%,+7.8%
IP,AsTh,桶6:弱听牌,13.31,14.39,14.44,+8.1%,+8.4%
IP,AhTd,桶6:弱听牌,13.37,14.49,14.54,+8.4%,+8.8%
IP,AsTd,桶6:弱听牌,13.41,14.51,14.56,+8.2%,+8.6%
IP,TsTh,桶3:中等成牌,15.05,24.89,20.65,+65.4%,+37.2%
